ID,包名,应用名称,产品线,企业名称,开发者,版本号,版本代码,更新日期,下载量,描述,来源站点,来源URL,发现方式,质量评分,爬取时间
81,com.UCMobile,UC浏览器,钉钉,广州市动景计算机科技有限公司,广州市动景计算机科技有限公司,18.5.8.1484,,,1444156701,"UC21周年庆，我们一起越来越好！
全球6亿人上网必备APP，群众的眼睛是雪亮的 
头条视频小说网盘小游戏，想你之所想一应俱全
首页更清爽素雅，支持自定义壁纸；头条内容品质升级，大咖精品云集；还有更多惊喜改变等你来发现~
 
【头条资讯】精彩头条，热点新闻永不错过
【海量视频】全网上亿短视频，新鲜热点全收录
【游戏交友】内置超多小游戏，真人匹配随时开战
【海量小说】热门小说更快更新，阅读体验更省心
【超速网盘】视频一键云收藏，极速离线无需等待；在yun.cn访问UC网盘网页版，无需客户端资源直接下，普通用户下载也不限速噢~
【全网免流】阿里宝卡/鱼卡免费领，看视频/新闻/小说/下载，统统免流量
【智能搜索】新资讯、好福利、精内容，一搜即得
【订阅精品】事件追踪、优质账号、精品专栏，订阅欣赏好内容
【极速省流】省流黑科技，节省超过30%流量
【贴心细节】无痕浏览，保护你的隐私；夜间模式，爱护你的眼睛
 
千里相会，便是缘分。走过路过，不要错过。你的下个10年，UC一直陪伴。",应用宝,https://sj.qq.com/appdetail/com.UCMobile,known_package_verify,0.85,2026-03-09 07:08:17
83,com.autonavi.minimap,高德地图,钉钉,北京高德图强科技有限公司,高德软件有限公司,16.11.0.2005,,,2791641820,"高德扫街榜，更真更全的榜单
高德地图，哪儿都熟
吃喝玩乐，熟门熟路
打车更快，就用高德
订酒店买门票，熟门熟路
出国游，用高德
超前科技，全域覆盖

【高德扫街榜】
高德扫街榜是全球首个基于真实用户导航、搜索、到店等行为数据，并结合AI技术和芝麻信用打造的AI时代客观公正的线上线下服务体系。
【地图导航】
提供包含驾车丶打车丶公交丶骑行丶步行丶货车丶摩托车丶新能源等多种出行方式的智能导航
【世界地图】
出国游，用高德，畅游世界，出行无忧，中文地图更安心
【高德打车】
一键呼叫全网多平台车辆，就是快
多平台实时比价，更便宜
【高德代驾】
酒后不开车，代驾找高德
【温馨提示】
高德地图的驾车语音导航，公交换乘提醒和步行语音导航会持续使用卫星定位服务（北斗等） ，切换至后台播放时仍会继续，某些其他操作会消耗更多的电量，并影响电池续航时间。
【联系我们】
感谢您使用高德地图，使用中有任何问题可在“我的--帮助与反馈”中进行反馈，我们会及时进行处理，也可以通过以下方式进行反馈：
官方微信公众号：高德地图/gaodeditu
官方新浪微博：@高德地图
官方客服电话：400-810-0080",应用宝,https://sj.qq.com/appdetail/com.autonavi.minimap,known_package_verify,0.85,2026-03-09 07:08:19
85,com.youku.phone,优酷视频,钉钉,优酷信息技术（北京）有限公司,优酷信息技术（北京）有限公司,11.1.81,,,2108040054,"【精品内容，尽在优酷】

《我的山与海》我命由我！谭松韵逆袭改命当霸总 

《寻秦记》古天乐林峯续写穿越传奇 

《沧元图 前传》国漫双强纯爱CP超甜撒糖

《唐宫奇案》新春王炸！白鹿王星越破深宫诡案

《乡村爱情18》欢乐过大年！乡爱18谁看谁发

《情圣3》肖央化身“爱情侦探”反被套路

《周五晚高疯》内娱活人们携“秘密疯巢”周末出逃

《辽宁卫视春晚》过大年！优酷独家全程回顾

《师兄啊师兄》洪荒最强老六爽赢天道，稳到起飞

《秋雪漫过的冬天》赵又廷张子枫逆风翻盘 

《暗恋者的救赎》罪与罚！绝望主妇深陷命案疑云 

《非常检控观》炸裂开审！马德钟破解八大悬案 

《风林火山》群星云集！暴力美学超爽港片 

《剥茧》罗云熙变天才法医破诡案 

《反人类暴行》品质好剧！《边水往事》导演新作

《逍遥》谭松韵侯明昊双世宿命奇缘

《山海经密码》以少年之志，破天命之局",应用宝,https://sj.qq.com/appdetail/com.youku.phone,known_package_verify,0.85,2026-03-09 07:08:21
87,com.taobao.trip,飞猪旅行,钉钉,杭州淘美航空服务有限公司,浙江飞猪网络技术有限公司,9.10.47.104,,,82586274,"飞猪旅行是阿里巴巴集团旗下旅行品牌，提供机票、酒店、火车票、汽车票、景点门票、用车、周末游、跟团游、自由行、自驾游、邮轮、旅游度假产品任您选！精选攻略、出行保险，旨在为您提供优惠、便捷、高性价比的出行服务。

飞猪App供国内及海外众多酒店，民宿，客栈，酒店式公寓在线预订服务；提供多条国内及出境旅游线路，并提供电话卡，境外Wi-Fi，租车，签证等一站式服务；全覆盖国内外多主流景点门票，在线预订一键预约；提供国内所有航线和国际航班主流航班机票，国内所有火车票的在线订购。

【特色服务和精彩活动】
1.「旅行助手」飞猪全新推出AI“问一问”，可随时随地为您挑选有性价比的机票、酒店和目的地，提供更准确、更有温度、可即时预订的旅行方案，帮您省去用多个App查询信息、拼凑攻略、反复比价的麻烦，它好比一支7*24小时在线的AI旅行定制团队，帮您轻松规划完美旅程。
2.「全球代言人」重磅官宣！虞书欣正式成为飞猪旅行全球代言人！这一次，虞书欣将与你分享她的旅行灵感，让我们一起跟着她的脚步，开启心动旅行吧！
舒心出行，就上飞猪旅行。
3.「新人礼包」首次下载飞猪旅行，即享百元机票、酒店、火车票大礼包",应用宝,https://sj.qq.com/appdetail/com.taobao.trip,known_package_verify,0.85,2026-03-09 07:08:22
111,com.alibaba.android.rimet,钉钉,钉钉,钉钉科技有限公司,钉钉科技有限公司,8.2.15.1,,,770437629,"钉钉，AI时代的工作方式。10年来坚持以AI驱动协作，以智能连接价值，服务超千万家企业与组织，让每个企业更快、更强、更具创造力。80%的中国500强企业选择钉钉，包括人民日报、中国联通、中国广电、一汽集团、宁德时代、赛力斯汽车、新浪微博、虎扑、中国铁建、太平洋保险、申通快递、长龙航空、柳钢集团、蒙牛、安踏、立白、百丽国际、宇树科技等，覆盖各行各业的标杆客户。
1、AI钉钉，简洁高效以人为本
【智能办公用AI钉钉】效率岛智能推送关键信息，A1自动生成纪要、待办与报告，同步AI表格
【协同创作用文档AI】插入多元素无缝协作，AI辅助构思、润色，创作更轻松
【高效开会用会议AI】声纹识别匹配发言人，AI听记支持30+行业模板
2、智能开放高效协作
【文档AI】信息联通，多人实时协同
【会议AI】实时转写、共享文档，远程如面对面
【项目AI】模板丰富，打通文档、群聊、审批
【日历AI】自然语言建日程，智能推荐时间场地
【全球化】支持20+语言，自动匹配国际会议时段
3、企业数智化平台
【AI表格】零代码搭建业务系统
【AI搜问】企业+全网一搜即得
【管理套件】人事财务客户一体化管理",应用宝,https://sj.qq.com/appdetail/com.alibaba.android.rimet,known_package_verify,0.85,2026-03-09 07:08:41
112,com.alibaba.aliyun,阿里云,钉钉,阿里云计算有限公司,阿里云计算有限公司,7.11.3,,,1070738,"阿里云（www.aliyun.com）创立于2009年，是数字经济的技术基础设施，为全球200多个国家和地区的创新创业企业、政府机构等提供服务。阿里云致力于提供安全、可靠的计算和数据处理能力，让计算成为普惠科技和公共服务。

阿里云App，阿里云官方出品，满足您随时随地触达阿里云的需求。您可以购买、管理云资源，监控产品数据，接收报警，与阿里云AI助理进行咨询对话，与人工客服沟通等。安全、便捷、快速，帮助您在手机中掌握阿里云的服务。

=产品功能=
1. 支持云产品的监控与管理，多维度的监控指标，管理云上业务；
2. 支持云产品的购买与续费，不在电脑前无法续费从此不再是问题；
3. 实时接收报警提醒，发现问题立即解决，全在手指的刀光剑影间；
4. 与阿里云AI助理咨询对话，智能助手让您上云更轻松、管控更便捷；
5. 移动工单，有问题立刻提交客服，有反馈及时回复，随时随地对话。

云，并不遥远；云，就在你身边！",应用宝,https://sj.qq.com/appdetail/com.alibaba.aliyun,known_package_verify,0.85,2026-03-09 07:08:42
114,com.taobao.taobao,淘宝,钉钉,浙江淘宝网络有限公司,浙江淘宝网络有限公司,10.59.0,,,4144348982,"淘宝是一个好逛、丰富、有趣的消费生活社区，每天有亿万消费者来淘宝“逛街”：发现好物、找到乐趣、表达体验……淘宝能满足人们生活中的各种需求：搜索和浏览商品、加入购物车、下单支付、物流查询、客服交流、发表购物评论、分享优质商品等等，还能通过本地功能，找到附近的生活优惠信息。

淘宝好逛，是因为——

1、在淘宝上，找到丰富的商品：
各种各样的优质好物、神奇商品都在淘宝上。
再小的需求，也能在淘宝上被满足；再小的爱好，也能在淘宝上找到同好。

2、在淘宝上，获得好逛的体验：
淘宝每天都会推荐优质、有趣的商品、服务和优惠信息。
每个人都能在这里找到自己感兴趣的商品，足不出户就能逛到好物。

3、在淘宝上，看到真实的内容：
淘宝直播间里的实物展示、评论区里真实的买家秀，让人买起来更放心。 
人们也能在淘宝“逛逛”社区分享自己的购物体验、推荐优质商品。

4、在淘宝上，买到优惠的商品：
每年双11、618等大促活动，商家集体打折，人们能在淘宝上获得真正的实惠。
同时，成为88VIP会员和品牌会员，还能享受更多福利。",应用宝,https://sj.qq.com/appdetail/com.taobao.taobao,known_package_verify,0.85,2026-03-09 07:08:43
116,com.eg.android.AlipayGphone,支付宝,钉钉,支付宝（杭州）数字服务技术有限公司,支付宝（杭州）信息技术有限公司,10.8.30.8000,,,1269158709,"支付宝是蚂蚁集团旗下业务，诞生于2004年，已经成长为世界领先的数字支付开放平台和服务业数字化经营开放平台。

我们面向消费者、各行各业商家提供便捷、安全的数字支付服务，面向合作伙伴持续开放技术、产品，助力实现数字化升级。

与此同时，大量商家机构通过支付宝App为消费者提供政务办事、扫码点单、生活缴费等超过1000种生活服务。

截至目前，支付宝和合作伙伴一起服务8000万商家、10亿消费者。

备案号：浙ICP备16025414号-40A",应用宝,https://sj.qq.com/appdetail/com.eg.android.AlipayGphone,known_package_verify,0.85,2026-03-09 07:08:45
119,com.taobao.idlefish,闲鱼,钉钉,浙江阿里巴巴闲鱼网络科技有限公司,浙江阿里巴巴闲鱼网络科技有限公司,7.25.31,,,326158140,"闲鱼是阿里巴巴集团旗下APP,闲置能赚钱
买卖闲置，就用闲鱼！
上闲鱼，闲置能赚钱！仅需30秒即可发布一款宝贝。
-实人认证的个人交易平台：更诚信，更安全！
-淘宝已买到宝贝，随时随地一键转卖，立即变现。
许多妈妈在这儿，转卖孩子们用不着的玩具、物品；同时也能交流养儿育儿的经验。
这些东西因为用过，所以放心！
许多达人混迹于此，倒腾邮票、二次元手办、镜头、模型、限量版篮球鞋等等，因为兴趣还能结交到同好朋友！
剁手党们，出手闲置，卖旧换新，节省空间的同时还能有笔小收入。
闲鱼，让你的闲置游起来！

联系我们&意见反馈：
邮箱：taobao-fleamarket-client@list.alibaba-inc.com",应用宝,https://sj.qq.com/appdetail/com.taobao.idlefish,known_package_verify,0.85,2026-03-09 07:08:47
121,com.tmall.wireless,天猫,钉钉,浙江天猫网络有限公司,浙江天猫网络有限公司,15.73.0,,,327502023,"天猫（原手机天猫）是阿里巴巴集团旗下的购物APP。海量官方旗舰店正品保障，为您的品质购物保驾护航。天猫致力于满足消费者对品牌产品和优质商品的购物体验需求。在为消费者提供货真价实的产品的同时，持续创新售前服务并着力提升售后服务，努力打造成线上购物的品质地标，成为越来越多的消费者喜欢并值得信赖的网购平台。

【特色频道】
超神卡：淘宝铂金以上会员专享，每月必免1单！折上再享9.6折！每100元最高再返8元！
猫猫币：天猫下单即返猫猫币，海量商品下单可用猫猫币抵扣，折后再补最高50%，可叠红包叠消费券
多买多返：每单返1%，超神卡用户专享返2%
大牌闪购：爆款低价，整点抢红包
百亿补贴：大牌全网低价，限时买了就返红包
天猫超市：自营商品一次买齐送上门，致力于满足广大消费者全场景生活需求
天猫国际：全球好货新发现，为中国消费者提供全球的进口好物、直达海外生活方式
*具体以商品详情页展示为准

有任何问题和建议，您可以通过以下方式联系我们：
微博：@天猫APP
消费者热线：9510211
手机天猫客户端：我-设置-意见反馈
同样，您给的反馈意见，我们会加速优化改进！",应用宝,https://sj.qq.com/appdetail/com.tmall.wireless,known_package_verify,0.85,2026-03-09 07:08:49
